movie,network_trace,algorithm,buffer size,total played utility,time average played utility,total played bitrate,time average played bitrate,total play time,total play time chunks,total rebuffer,rebuffer ratio,time average rebuffer,total rebuffer events,time average rebuffer events,total bitrate change,time average bitrate change,total log bitrate change,time average log bitrate change,time average score,over estimate count,over estimate,leq estimate count,leq estimate,estimate,rampup time,total reaction time,qoe
../data/bbb.json,../data/hd_fs/trace0396.json,ABR_A2C.py,25000.0,645.764217,2.712925,1188230.0,4991.882761,714.0973,238.032433,116.494552,0.163135,0.489406,15.0,0.063017,5770.0,24.240394,3.261435,0.013702,1.897248,39.0,7322.816033,159.0,15422.958015,-10942.729793,11.318227,0.0,498.5776285455238
../data/bbb.json,../data/hd_fs/trace0282.json,ABR_A2C.py,25000.0,645.764217,2.712727,1188230.0,4991.518174,714.149458,238.049819,116.375109,0.162956,0.488869,16.0,0.067213,5770.0,24.238624,3.261435,0.013701,1.897946,20.0,4433.354581,178.0,7043.839688,-5884.527136,13.626932,0.0,498.5412191842381
../data/bbb.json,../data/hd_fs/trace0767.json,ABR_A2C.py,25000.0,645.764217,2.713015,1188230.0,4992.047938,714.073672,238.024557,116.013343,0.162467,0.487401,16.0,0.06722,5770.0,24.241196,3.261435,0.013702,1.900681,29.0,3453.403711,169.0,6909.857628,-5392.00622,15.94798,5.94798,498.5941451952857
../data/bbb.json,../data/hd_fs/trace0382.json,ABR_A2C.py,25000.0,645.764217,2.71276,1188230.0,4991.579014,714.140754,238.046918,116.530634,0.163176,0.489528,15.0,0.063013,5770.0,24.238919,3.261435,0.013701,1.89688,48.0,2330.511557,150.0,6873.088115,-4641.912437,10.870481,0.0,498.5472895644286
../data/bbb.json,../data/hd_fs/trace0497.json,ABR_A2C.py,25000.0,645.764217,2.712813,1188230.0,4991.676415,714.126819,238.042273,116.553536,0.163211,0.489634,16.0,0.067215,5770.0,24.239392,3.261435,0.013701,1.896757,33.0,4619.68575,165.0,13836.768392,-10760.692701,10.908207,0.0,498.5570168349524
../data/bbb.json,../data/hd_fs/trace0654.json,ABR_A2C.py,25000.0,645.764217,2.757855,1188230.0,5074.554874,702.463583,234.154528,104.972866,0.149435,0.448306,18.0,0.076872,5770.0,24.641847,3.261435,0.013929,2.010678,42.0,3372.615017,156.0,8982.346895,-6361.597399,9.07366,0.0,506.8351929919524
../data/bbb.json,../data/hd_fs/trace0317.json,ABR_A2C.py,25000.0,645.764217,2.677132,1188230.0,4926.021639,723.644811,241.214937,125.920792,0.174009,0.522027,15.0,0.062185,5770.0,23.920575,3.261435,0.013521,1.807086,41.0,2584.190969,157.0,6258.403503,-4427.361213,13.92142,0.0,491.9992026977143
../data/bbb.json,../data/hd_fs/trace0415.json,ABR_A2C.py,25000.0,645.764217,2.667368,1188230.0,4908.055351,726.293765,242.097922,128.520058,0.176953,0.53086,14.0,0.057828,5770.0,23.833331,3.261435,0.013472,1.782602,22.0,7946.32939,176.0,13036.975083,-10705.496808,15.741786,0.0,490.20467129452385
../data/bbb.json,../data/hd_fs/trace0647.json,ABR_A2C.py,25000.0,645.764217,2.712674,1188230.0,4991.419457,714.163582,238.054527,116.648132,0.163335,0.490006,17.0,0.071412,5770.0,24.238144,3.261435,0.0137,1.895997,35.0,2897.264111,163.0,5760.526728,-4230.109155,12.889896,5.0,498.5313487098095
../data/bbb.json,../data/hd_fs/trace0547.json,ABR_A2C.py,25000.0,645.764217,2.75818,1188230.0,5075.152869,702.380813,234.126938,104.808908,0.149219,0.447658,18.0,0.076881,5770.0,24.644751,3.261435,0.01393,2.012082,38.0,3089.892046,160.0,7635.973028,-5577.47367,11.728034,1.728034,506.89492603252376
